,model,hidden_size,lr,n_epochs,embed_dim,model_name,Test Accuracy,Test F1
30,GCN,256,0.001,1,16,GCN,0.34183673469387754,0.08556832694763729
31,GCN,256,0.001,1,32,GCN,0.3469387755102041,0.11554476058292851
32,GCN,256,0.001,100,16,GCN,0.3877551020408163,0.15518753546922562
33,GCN,256,0.001,100,32,GCN,0.4030612244897959,0.18047199804353142
34,GCN,256,0.001,200,16,GCN,0.3826530612244898,0.21308225865003935
35,GCN,256,0.001,200,32,GCN,0.3520408163265306,0.17703146110789425
36,GCN,512,0.01,1,16,GCN,0.34183673469387754,0.08491761723700887
37,GCN,512,0.01,1,32,GCN,0.3163265306122449,0.08010335917312662
38,GCN,512,0.01,100,16,GCN,0.34183673469387754,0.08524173027989822
39,GCN,512,0.01,100,32,GCN,0.3469387755102041,0.1459270120560443
40,GCN,512,0.01,200,16,GCN,0.3622448979591837,0.15292534728350524
41,GCN,512,0.01,200,32,GCN,0.3979591836734694,0.19822205910837898
42,GCN,512,0.005,1,16,GCN,0.34183673469387754,0.08491761723700887
43,GCN,512,0.005,1,32,GCN,0.34183673469387754,0.08491761723700887
44,GCN,512,0.005,100,16,GCN,0.336734693877551,0.1471023965141612
45,GCN,512,0.005,100,32,GCN,0.34183673469387754,0.18620640660062127
46,GCN,512,0.005,200,16,GCN,0.336734693877551,0.12767857142857142
47,GCN,512,0.005,200,32,GCN,0.32142857142857145,0.16280027007020198
48,GCN,512,0.001,1,16,GCN,0.3163265306122449,0.08010335917312662
49,GCN,512,0.001,1,32,GCN,0.34183673469387754,0.08491761723700887
50,GCN,512,0.001,100,16,GCN,0.3826530612244898,0.17720506656310145
51,GCN,512,0.001,100,32,GCN,0.37244897959183676,0.15755963894261765
52,GCN,512,0.001,200,16,GCN,0.3622448979591837,0.20208425835296162
53,GCN,512,0.001,200,32,GCN,0.3979591836734694,0.2071824467994736
54,GAT,128,0.01,1,16,GAT,0.34183673469387754,0.08491761723700887
55,GAT,128,0.01,1,32,GAT,0.34183673469387754,0.08491761723700887
56,GAT,128,0.01,100,16,GAT,0.37244897959183676,0.15615543876413443
57,GAT,128,0.01,100,32,GAT,0.4030612244897959,0.2019559111757693
58,GAT,128,0.01,200,16,GAT,0.3520408163265306,0.14168310322156477
59,GAT,128,0.01,200,32,GAT,0.3673469387755102,0.20627971369496792
60,GAT,128,0.005,1,16,GAT,0.3163265306122449,0.08010335917312662
61,GAT,128,0.005,1,32,GAT,0.34183673469387754,0.08491761723700887
62,GAT,128,0.005,100,16,GAT,0.3877551020408163,0.17402312095406725
63,GAT,128,0.005,100,32,GAT,0.37244897959183676,0.15648172965246135
64,GAT,128,0.005,200,16,GAT,0.3877551020408163,0.18859825235664163
65,GAT,128,0.005,200,32,GAT,0.37244897959183676,0.19639234686828552
66,GAT,128,0.001,1,16,GAT,0.3163265306122449,0.08010335917312662
67,GAT,128,0.001,1,32,GAT,0.20408163265306123,0.05649717514124294
68,GAT,128,0.001,100,16,GAT,0.3469387755102041,0.09077666028097063
69,GAT,128,0.001,100,32,GAT,0.37244897959183676,0.14784675398486138
70,GAT,128,0.001,200,16,GAT,0.3010204081632653,0.14998979383547661
