,model,lr,n_epochs,hidden_size,weight_decay,model_name,Test Accuracy,Test F1,max_depth,min_samples_split,min_samples_leaf,criterion,n_estimators,max_features,C,penalty,solver,max_iter,class_weight
100,MLP,0.01,200.0,512.0,0.01,MLP,0.39285714285714285,0.28299685300674654,,,,,,,,,,,
101,MLP,0.01,200.0,512.0,0.001,MLP,0.30612244897959184,0.20411706125044982,,,,,,,,,,,
102,MLP,0.01,200.0,1024.0,0.1,MLP,0.3673469387755102,0.2330041538838601,,,,,,,,,,,
103,MLP,0.01,200.0,1024.0,0.01,MLP,0.2857142857142857,0.17261549678531185,,,,,,,,,,,
104,MLP,0.01,200.0,1024.0,0.001,MLP,0.336734693877551,0.21589053225576493,,,,,,,,,,,
105,MLP,0.01,500.0,64.0,0.1,MLP,0.2857142857142857,0.1592149866190901,,,,,,,,,,,
106,MLP,0.01,500.0,64.0,0.01,MLP,0.34183673469387754,0.2594855065781566,,,,,,,,,,,
107,MLP,0.01,500.0,64.0,0.001,MLP,0.35714285714285715,0.2244982398070099,,,,,,,,,,,
108,MLP,0.01,500.0,128.0,0.1,MLP,0.37244897959183676,0.24698023298023297,,,,,,,,,,,
109,MLP,0.01,500.0,128.0,0.01,MLP,0.37244897959183676,0.23236272307845499,,,,,,,,,,,
110,MLP,0.01,500.0,128.0,0.001,MLP,0.3622448979591837,0.24251990063405418,,,,,,,,,,,
111,MLP,0.01,500.0,256.0,0.1,MLP,0.3469387755102041,0.23479971610776562,,,,,,,,,,,
112,MLP,0.01,500.0,256.0,0.01,MLP,0.32142857142857145,0.2155424762912855,,,,,,,,,,,
113,MLP,0.01,500.0,256.0,0.001,MLP,0.41836734693877553,0.28863682793760664,,,,,,,,,,,
114,MLP,0.01,500.0,512.0,0.1,MLP,0.3469387755102041,0.22760723125501367,,,,,,,,,,,
115,MLP,0.01,500.0,512.0,0.01,MLP,0.3112244897959184,0.2351476142061831,,,,,,,,,,,
116,MLP,0.01,500.0,512.0,0.001,MLP,0.3673469387755102,0.27818281696330477,,,,,,,,,,,
117,MLP,0.01,500.0,1024.0,0.1,MLP,0.4489795918367347,0.289021164021164,,,,,,,,,,,
118,MLP,0.01,500.0,1024.0,0.01,MLP,0.3520408163265306,0.24302863648890138,,,,,,,,,,,
119,MLP,0.01,500.0,1024.0,0.001,MLP,0.3622448979591837,0.21147670439589364,,,,,,,,,,,
120,MLP,0.001,50.0,64.0,0.1,MLP,0.3520408163265306,0.21026827651249871,,,,,,,,,,,
121,MLP,0.001,50.0,64.0,0.01,MLP,0.4489795918367347,0.2263754763754764,,,,,,,,,,,
122,MLP,0.001,50.0,64.0,0.001,MLP,0.37755102040816324,0.1958507269794949,,,,,,,,,,,
123,MLP,0.001,50.0,128.0,0.1,MLP,0.37244897959183676,0.18245860995390184,,,,,,,,,,,
