,model,lr,n_epochs,hidden_size,weight_decay,model_name,Test Accuracy,Test F1,max_depth,min_samples_split,min_samples_leaf,criterion,n_estimators,max_features,C,penalty,solver,max_iter,class_weight
75,MLP,0.001,200.0,128.0,0.005,MLP,0.35714285714285715,0.20896459106923773,,,,,,,,,,,
76,MLP,0.001,200.0,128.0,0.001,MLP,0.42346938775510207,0.3232984822388796,,,,,,,,,,,
77,MLP,0.001,200.0,128.0,0.0005,MLP,0.3877551020408163,0.19362257222920087,,,,,,,,,,,
78,MLP,0.001,200.0,192.0,0.005,MLP,0.336734693877551,0.25042591107547,,,,,,,,,,,
79,MLP,0.001,200.0,192.0,0.001,MLP,0.3877551020408163,0.2860911243948764,,,,,,,,,,,
80,MLP,0.001,200.0,192.0,0.0005,MLP,0.37244897959183676,0.25168135113851653,,,,,,,,,,,
81,MLP,0.001,200.0,256.0,0.005,MLP,0.37755102040816324,0.25454268684156783,,,,,,,,,,,
82,MLP,0.001,200.0,256.0,0.001,MLP,0.3469387755102041,0.22934050934050934,,,,,,,,,,,
83,MLP,0.001,200.0,256.0,0.0005,MLP,0.34183673469387754,0.20645970894517263,,,,,,,,,,,
84,MLP,0.001,200.0,384.0,0.005,MLP,0.3979591836734694,0.2475948522483575,,,,,,,,,,,
85,MLP,0.001,200.0,384.0,0.001,MLP,0.3673469387755102,0.27982889984081166,,,,,,,,,,,
86,MLP,0.001,200.0,384.0,0.0005,MLP,0.33163265306122447,0.20170398452956598,,,,,,,,,,,
87,MLP,0.001,200.0,512.0,0.005,MLP,0.3877551020408163,0.2927897509354344,,,,,,,,,,,
88,MLP,0.001,200.0,512.0,0.001,MLP,0.3877551020408163,0.24886816908093504,,,,,,,,,,,
89,MLP,0.001,200.0,512.0,0.0005,MLP,0.37244897959183676,0.23844543138021398,,,,,,,,,,,
90,MLP,0.001,300.0,128.0,0.005,MLP,0.3622448979591837,0.26684911512497717,,,,,,,,,,,
91,MLP,0.001,300.0,128.0,0.001,MLP,0.37755102040816324,0.2350093466049401,,,,,,,,,,,
92,MLP,0.001,300.0,128.0,0.0005,MLP,0.37755102040816324,0.2364746364746365,,,,,,,,,,,
93,MLP,0.001,300.0,192.0,0.005,MLP,0.35714285714285715,0.2182553224673297,,,,,,,,,,,
94,MLP,0.001,300.0,192.0,0.001,MLP,0.40816326530612246,0.3093823374870883,,,,,,,,,,,
95,MLP,0.001,300.0,192.0,0.0005,MLP,0.3826530612244898,0.29225502306236784,,,,,,,,,,,
96,MLP,0.001,300.0,256.0,0.005,MLP,0.3826530612244898,0.2506813348436704,,,,,,,,,,,
97,MLP,0.001,300.0,256.0,0.001,MLP,0.3979591836734694,0.24852860013351574,,,,,,,,,,,
98,MLP,0.001,300.0,256.0,0.0005,MLP,0.35714285714285715,0.20684015976013093,,,,,,,,,,,
99,MLP,0.001,300.0,384.0,0.005,MLP,0.3673469387755102,0.3069159825681565,,,,,,,,,,,
100,MLP,0.001,300.0,384.0,0.001,MLP,0.42346938775510207,0.26301125833258604,,,,,,,,,,,
101,MLP,0.001,300.0,384.0,0.0005,MLP,0.39285714285714285,0.2648576318653045,,,,,,,,,,,
102,MLP,0.001,300.0,512.0,0.005,MLP,0.3826530612244898,0.22336395904611797,,,,,,,,,,,
103,MLP,0.001,300.0,512.0,0.001,MLP,0.35714285714285715,0.2661112591586829,,,,,,,,,,,
104,MLP,0.001,300.0,512.0,0.0005,MLP,0.3469387755102041,0.23662604495339298,,,,,,,,,,,
105,MLP,0.001,500.0,128.0,0.005,MLP,0.3622448979591837,0.2138720643791638,,,,,,,,,,,
106,MLP,0.001,500.0,128.0,0.001,MLP,0.3673469387755102,0.31461290096720473,,,,,,,,,,,
107,MLP,0.001,500.0,128.0,0.0005,MLP,0.3520408163265306,0.23112911250825655,,,,,,,,,,,
108,MLP,0.001,500.0,192.0,0.005,MLP,0.32142857142857145,0.2131401300185329,,,,,,,,,,,
109,MLP,0.001,500.0,192.0,0.001,MLP,0.37755102040816324,0.23618777056277054,,,,,,,,,,,
110,MLP,0.001,500.0,192.0,0.0005,MLP,0.3469387755102041,0.2138951796486043,,,,,,,,,,,
111,MLP,0.001,500.0,256.0,0.005,MLP,0.3673469387755102,0.2541087200507491,,,,,,,,,,,
112,MLP,0.001,500.0,256.0,0.001,MLP,0.3826530612244898,0.2733874325727611,,,,,,,,,,,
113,MLP,0.001,500.0,256.0,0.0005,MLP,0.39285714285714285,0.27838633455579814,,,,,,,,,,,
114,MLP,0.001,500.0,384.0,0.005,MLP,0.3877551020408163,0.216657944620027,,,,,,,,,,,
115,MLP,0.001,500.0,384.0,0.001,MLP,0.35714285714285715,0.24038128908403186,,,,,,,,,,,
116,MLP,0.001,500.0,384.0,0.0005,MLP,0.3979591836734694,0.24785537285537285,,,,,,,,,,,
117,MLP,0.001,500.0,512.0,0.005,MLP,0.3673469387755102,0.2820650482415188,,,,,,,,,,,
118,MLP,0.001,500.0,512.0,0.001,MLP,0.33163265306122447,0.25148120838868393,,,,,,,,,,,
119,MLP,0.001,500.0,512.0,0.0005,MLP,0.32142857142857145,0.2026279094013084,,,,,,,,,,,
120,MLP,0.0005,100.0,128.0,0.005,MLP,0.4336734693877551,0.2558003088008235,,,,,,,,,,,
121,MLP,0.0005,100.0,128.0,0.001,MLP,0.44387755102040816,0.2261029411764706,,,,,,,,,,,
122,MLP,0.0005,100.0,128.0,0.0005,MLP,0.4489795918367347,0.2540285779369999,,,,,,,,,,,
123,MLP,0.0005,100.0,192.0,0.005,MLP,0.4642857142857143,0.22999708624708626,,,,,,,,,,,
124,MLP,0.0005,100.0,192.0,0.001,MLP,0.4030612244897959,0.22775786539227402,,,,,,,,,,,
125,MLP,0.0005,100.0,192.0,0.0005,MLP,0.4336734693877551,0.2636511156186613,,,,,,,,,,,
126,MLP,0.0005,100.0,256.0,0.005,MLP,0.42857142857142855,0.2095626459409248,,,,,,,,,,,
127,MLP,0.0005,100.0,256.0,0.001,MLP,0.37755102040816324,0.19452693404741672,,,,,,,,,,,
128,MLP,0.0005,100.0,256.0,0.0005,MLP,0.37244897959183676,0.21253617662125113,,,,,,,,,,,
129,MLP,0.0005,100.0,384.0,0.005,MLP,0.44387755102040816,0.25144809585388345,,,,,,,,,,,
130,MLP,0.0005,100.0,384.0,0.001,MLP,0.3877551020408163,0.19828431372549019,,,,,,,,,,,
131,MLP,0.0005,100.0,384.0,0.0005,MLP,0.39285714285714285,0.2168508755243911,,,,,,,,,,,
132,MLP,0.0005,100.0,512.0,0.005,MLP,0.42857142857142855,0.28978245974648853,,,,,,,,,,,
133,MLP,0.0005,100.0,512.0,0.001,MLP,0.42857142857142855,0.26336727556128364,,,,,,,,,,,
134,MLP,0.0005,100.0,512.0,0.0005,MLP,0.45918367346938777,0.28181476097691727,,,,,,,,,,,
135,MLP,0.0005,200.0,128.0,0.005,MLP,0.3979591836734694,0.28183460301568003,,,,,,,,,,,
136,MLP,0.0005,200.0,128.0,0.001,MLP,0.413265306122449,0.2555460910107993,,,,,,,,,,,
137,MLP,0.0005,200.0,128.0,0.0005,MLP,0.3469387755102041,0.19143356643356646,,,,,,,,,,,
138,MLP,0.0005,200.0,192.0,0.005,MLP,0.39285714285714285,0.21263757554080134,,,,,,,,,,,
139,MLP,0.0005,200.0,192.0,0.001,MLP,0.3826530612244898,0.23708948378002428,,,,,,,,,,,
140,MLP,0.0005,200.0,192.0,0.0005,MLP,0.4336734693877551,0.25057118807118806,,,,,,,,,,,
141,MLP,0.0005,200.0,256.0,0.005,MLP,0.42346938775510207,0.2650485997496403,,,,,,,,,,,
142,MLP,0.0005,200.0,256.0,0.001,MLP,0.3469387755102041,0.2797479627774878,,,,,,,,,,,
143,MLP,0.0005,200.0,256.0,0.0005,MLP,0.3673469387755102,0.2165339980700336,,,,,,,,,,,
144,MLP,0.0005,200.0,384.0,0.005,MLP,0.42346938775510207,0.2468681913122062,,,,,,,,,,,
145,MLP,0.0005,200.0,384.0,0.001,MLP,0.413265306122449,0.27892623716153125,,,,,,,,,,,
146,MLP,0.0005,200.0,384.0,0.0005,MLP,0.4030612244897959,0.26216101512272916,,,,,,,,,,,
147,MLP,0.0005,200.0,512.0,0.005,MLP,0.4030612244897959,0.26446621011838406,,,,,,,,,,,
148,MLP,0.0005,200.0,512.0,0.001,MLP,0.37755102040816324,0.2620035175497312,,,,,,,,,,,
149,MLP,0.0005,200.0,512.0,0.0005,MLP,0.3826530612244898,0.25209322619394564,,,,,,,,,,,
150,MLP,0.0005,300.0,128.0,0.005,MLP,0.3673469387755102,0.2171670860953012,,,,,,,,,,,
151,MLP,0.0005,300.0,128.0,0.001,MLP,0.413265306122449,0.28997430470267493,,,,,,,,,,,
152,MLP,0.0005,300.0,128.0,0.0005,MLP,0.41836734693877553,0.268897414038079,,,,,,,,,,,
153,MLP,0.0005,300.0,192.0,0.005,MLP,0.3673469387755102,0.22207712327495577,,,,,,,,,,,
154,MLP,0.0005,300.0,192.0,0.001,MLP,0.4030612244897959,0.2683230804283436,,,,,,,,,,,
155,MLP,0.0005,300.0,192.0,0.0005,MLP,0.37755102040816324,0.2365382987727465,,,,,,,,,,,
156,MLP,0.0005,300.0,256.0,0.005,MLP,0.39285714285714285,0.28961128746830134,,,,,,,,,,,
157,MLP,0.0005,300.0,256.0,0.001,MLP,0.3979591836734694,0.24752304830391214,,,,,,,,,,,
158,MLP,0.0005,300.0,256.0,0.0005,MLP,0.34183673469387754,0.2140623926338212,,,,,,,,,,,
159,MLP,0.0005,300.0,384.0,0.005,MLP,0.37755102040816324,0.2661621637902473,,,,,,,,,,,
160,MLP,0.0005,300.0,384.0,0.001,MLP,0.35714285714285715,0.21872424017071168,,,,,,,,,,,
161,MLP,0.0005,300.0,384.0,0.0005,MLP,0.3877551020408163,0.30874541365842106,,,,,,,,,,,
162,MLP,0.0005,300.0,512.0,0.005,MLP,0.3877551020408163,0.242085753216188,,,,,,,,,,,
163,MLP,0.0005,300.0,512.0,0.001,MLP,0.3979591836734694,0.24663250243979876,,,,,,,,,,,
164,MLP,0.0005,300.0,512.0,0.0005,MLP,0.39285714285714285,0.2286346566261858,,,,,,,,,,,
165,MLP,0.0005,500.0,128.0,0.005,MLP,0.3520408163265306,0.22691683397760531,,,,,,,,,,,
166,MLP,0.0005,500.0,128.0,0.001,MLP,0.3469387755102041,0.21645823594980404,,,,,,,,,,,
167,MLP,0.0005,500.0,128.0,0.0005,MLP,0.3877551020408163,0.2603934749150992,,,,,,,,,,,
168,MLP,0.0005,500.0,192.0,0.005,MLP,0.4030612244897959,0.2738034083496412,,,,,,,,,,,
169,MLP,0.0005,500.0,192.0,0.001,MLP,0.3826530612244898,0.2949699549314236,,,,,,,,,,,
170,MLP,0.0005,500.0,192.0,0.0005,MLP,0.4336734693877551,0.2757389083683115,,,,,,,,,,,
171,MLP,0.0005,500.0,256.0,0.005,MLP,0.3826530612244898,0.23639143516571826,,,,,,,,,,,
172,MLP,0.0005,500.0,256.0,0.001,MLP,0.3469387755102041,0.25640759640018,,,,,,,,,,,
173,MLP,0.0005,500.0,256.0,0.0005,MLP,0.37755102040816324,0.26455794619973727,,,,,,,,,,,
174,MLP,0.0005,500.0,384.0,0.005,MLP,0.3163265306122449,0.18735026966639082,,,,,,,,,,,
175,MLP,0.0005,500.0,384.0,0.001,MLP,0.33163265306122447,0.19689180179797786,,,,,,,,,,,
176,MLP,0.0005,500.0,384.0,0.0005,MLP,0.37244897959183676,0.2771693588646413,,,,,,,,,,,
177,MLP,0.0005,500.0,512.0,0.005,MLP,0.37244897959183676,0.18951364392425382,,,,,,,,,,,
178,MLP,0.0005,500.0,512.0,0.001,MLP,0.4642857142857143,0.28379181320357794,,,,,,,,,,,
179,MLP,0.0005,500.0,512.0,0.0005,MLP,0.3622448979591837,0.22197300820489227,,,,,,,,,,,
180,DecisionTree,,,,,DecisionTree,0.3979591836734694,0.20606206184833278,3.0,5.0,1.0,gini,,,,,,,
181,DecisionTree,,,,,DecisionTree,0.37244897959183676,0.15202031299592275,3.0,5.0,1.0,entropy,,,,,,,
182,DecisionTree,,,,,DecisionTree,0.3673469387755102,0.17396459404027623,3.0,5.0,2.0,gini,,,,,,,
183,DecisionTree,,,,,DecisionTree,0.3673469387755102,0.19102466003517107,3.0,5.0,2.0,entropy,,,,,,,
184,DecisionTree,,,,,DecisionTree,0.35714285714285715,0.2094764439624596,3.0,5.0,5.0,gini,,,,,,,
185,DecisionTree,,,,,DecisionTree,0.413265306122449,0.20378787878787877,3.0,5.0,5.0,entropy,,,,,,,
186,DecisionTree,,,,,DecisionTree,0.413265306122449,0.2645841023748,3.0,10.0,1.0,gini,,,,,,,
187,DecisionTree,,,,,DecisionTree,0.3520408163265306,0.18283763755461868,3.0,10.0,1.0,entropy,,,,,,,
188,DecisionTree,,,,,DecisionTree,0.33163265306122447,0.16740304369170347,3.0,10.0,2.0,gini,,,,,,,
189,DecisionTree,,,,,DecisionTree,0.41836734693877553,0.18732676924110025,3.0,10.0,2.0,entropy,,,,,,,
190,DecisionTree,,,,,DecisionTree,0.42346938775510207,0.21939334074165537,3.0,10.0,5.0,gini,,,,,,,
191,DecisionTree,,,,,DecisionTree,0.37244897959183676,0.15053763440860216,3.0,10.0,5.0,entropy,,,,,,,
192,DecisionTree,,,,,DecisionTree,0.41836734693877553,0.21916863024457964,3.0,20.0,1.0,gini,,,,,,,
193,DecisionTree,,,,,DecisionTree,0.35714285714285715,0.18685411013124945,3.0,20.0,1.0,entropy,,,,,,,
194,DecisionTree,,,,,DecisionTree,0.3979591836734694,0.1932980403083496,3.0,20.0,2.0,gini,,,,,,,
195,DecisionTree,,,,,DecisionTree,0.37755102040816324,0.17327366585423706,3.0,20.0,2.0,entropy,,,,,,,
196,DecisionTree,,,,,DecisionTree,0.34183673469387754,0.18201669128480022,3.0,20.0,5.0,gini,,,,,,,
197,DecisionTree,,,,,DecisionTree,0.39285714285714285,0.20839832454539117,3.0,20.0,5.0,entropy,,,,,,,
198,DecisionTree,,,,,DecisionTree,0.33163265306122447,0.18229654182951563,5.0,5.0,1.0,gini,,,,,,,
199,DecisionTree,,,,,DecisionTree,0.3673469387755102,0.21810630172588097,5.0,5.0,1.0,entropy,,,,,,,
200,DecisionTree,,,,,DecisionTree,0.37244897959183676,0.19706815581485082,5.0,5.0,2.0,gini,,,,,,,
201,DecisionTree,,,,,DecisionTree,0.33163265306122447,0.189054870941156,5.0,5.0,2.0,entropy,,,,,,,
202,DecisionTree,,,,,DecisionTree,0.3520408163265306,0.23620030422046473,5.0,5.0,5.0,gini,,,,,,,
203,DecisionTree,,,,,DecisionTree,0.37755102040816324,0.21241427091276208,5.0,5.0,5.0,entropy,,,,,,,
204,DecisionTree,,,,,DecisionTree,0.3877551020408163,0.2066569436774611,5.0,10.0,1.0,gini,,,,,,,
205,DecisionTree,,,,,DecisionTree,0.37755102040816324,0.1874207333884753,5.0,10.0,1.0,entropy,,,,,,,
206,DecisionTree,,,,,DecisionTree,0.4387755102040816,0.3096914127970028,5.0,10.0,2.0,gini,,,,,,,
207,DecisionTree,,,,,DecisionTree,0.34183673469387754,0.22879207677801028,5.0,10.0,2.0,entropy,,,,,,,
208,DecisionTree,,,,,DecisionTree,0.3673469387755102,0.23429201221839402,5.0,10.0,5.0,gini,,,,,,,
209,DecisionTree,,,,,DecisionTree,0.3673469387755102,0.2203802733214498,5.0,10.0,5.0,entropy,,,,,,,
210,DecisionTree,,,,,DecisionTree,0.3877551020408163,0.2301717081732979,5.0,20.0,1.0,gini,,,,,,,
211,DecisionTree,,,,,DecisionTree,0.39285714285714285,0.20582268389614713,5.0,20.0,1.0,entropy,,,,,,,
212,DecisionTree,,,,,DecisionTree,0.413265306122449,0.2569554647019436,5.0,20.0,2.0,gini,,,,,,,
213,DecisionTree,,,,,DecisionTree,0.29081632653061223,0.17382128943820055,5.0,20.0,2.0,entropy,,,,,,,
214,DecisionTree,,,,,DecisionTree,0.3469387755102041,0.23834562824553673,5.0,20.0,5.0,gini,,,,,,,
215,DecisionTree,,,,,DecisionTree,0.3520408163265306,0.20523878054645928,5.0,20.0,5.0,entropy,,,,,,,
216,DecisionTree,,,,,DecisionTree,0.336734693877551,0.19844888145786352,7.0,5.0,1.0,gini,,,,,,,
217,DecisionTree,,,,,DecisionTree,0.3877551020408163,0.272243681298708,7.0,5.0,1.0,entropy,,,,,,,
218,DecisionTree,,,,,DecisionTree,0.3826530612244898,0.2612143615118135,7.0,5.0,2.0,gini,,,,,,,
219,DecisionTree,,,,,DecisionTree,0.42346938775510207,0.2543175730989784,7.0,5.0,2.0,entropy,,,,,,,
220,DecisionTree,,,,,DecisionTree,0.37755102040816324,0.18916827626573016,7.0,5.0,5.0,gini,,,,,,,
221,DecisionTree,,,,,DecisionTree,0.35714285714285715,0.23431048583049777,7.0,5.0,5.0,entropy,,,,,,,
222,DecisionTree,,,,,DecisionTree,0.41836734693877553,0.2550619934539441,7.0,10.0,1.0,gini,,,,,,,
223,DecisionTree,,,,,DecisionTree,0.39285714285714285,0.24903919609801964,7.0,10.0,1.0,entropy,,,,,,,
224,DecisionTree,,,,,DecisionTree,0.3469387755102041,0.24339468431557937,7.0,10.0,2.0,gini,,,,,,,
225,DecisionTree,,,,,DecisionTree,0.32142857142857145,0.20932803646218281,7.0,10.0,2.0,entropy,,,,,,,
226,DecisionTree,,,,,DecisionTree,0.40816326530612246,0.2648356622748428,7.0,10.0,5.0,gini,,,,,,,
227,DecisionTree,,,,,DecisionTree,0.3163265306122449,0.19744698475401734,7.0,10.0,5.0,entropy,,,,,,,
228,DecisionTree,,,,,DecisionTree,0.3622448979591837,0.20241072436827337,7.0,20.0,1.0,gini,,,,,,,
229,DecisionTree,,,,,DecisionTree,0.3673469387755102,0.23612008367516416,7.0,20.0,1.0,entropy,,,,,,,
230,DecisionTree,,,,,DecisionTree,0.29591836734693877,0.18074014015578088,7.0,20.0,2.0,gini,,,,,,,
